Date,Open,High,Low,Close,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Volume,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
02-Jun-22,76800,76800,75000,75866.6,75426.03814,236,179,17800545,104,44.07,1800,-933.4
03-Jun-22,76349.95,76872.9,76118.3,76510.15,76451.68582,261,177,19953890,67,25.67,754.6,160.2
06-Jun-22,76465,76650,74556.8,74738.15,75341.76471,255,204,19212150,82,32.16,2093.2,-1726.85
07-Jun-22,74499.95,74499.95,71400,71619.4,72354.37662,539,412,38999009,268,49.72,3099.95,-2880.55
08-Jun-22,72230.3,72249.5,70269.7,70566.4,71118.24113,423,329,30083016,149,35.22,1979.8,-1663.9
09-Jun-22,70440,70752.4,70008.1,70354.1,70358.56911,246,185,17308208,75,30.49,744.3,-85.9
10-Jun-22,70200,70554.85,69770,69926.8,70061.04787,188,158,13171477,46,24.47,784.85,-273.2
13-Jun-22,69483,69483,68300,68561.25,68728.41667,240,179,16494820,118,49.17,1183,-921.75
14-Jun-22,67500,69400,67500,68177.6,68698.96552,261,216,17930430,91,34.87,1900,677.6
15-Jun-22,68177.6,69441.2,68177.6,68442.2,68966.83206,131,109,9034655,38,29.01,1263.6,264.6
16-Jun-22,69000,69274.9,67001.05,67216.45,67755.08021,374,307,25340400,124,33.16,2273.85,-1783.55
17-Jun-22,67237.9,69008.85,65900.05,67883.9,67014.43116,552,421,36991966,229,41.49,3108.8,646
20-Jun-22,68380,68500,66500,66699.15,67200.24878,205,180,13776051,97,47.32,2000,-1680.85
21-Jun-22,66899.95,68285.05,66899.95,68088.85,67925.98368,429,317,29140247,141,32.87,1385.1,1188.9
