index,Date,Open,High,Low,Close,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Volume,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1522,23-Feb-22,66299.95,66853.0,65650.25,65812.85,66178.64692,439,382,29052426,171,38.95,1202.75,-487.1
1523,24-Feb-22,63500.0,65227.65,62944.5,64007.8,63997.8288,1361,1123,87101045,487,35.78,2283.15,507.8
1524,25-Feb-22,64007.8,65782.35,64007.8,65511.25,65055.34225,748,602,48661396,219,29.28,1774.55,1503.45
1525,28-Feb-22,65700.0,66289.6,64500.0,65715.8,65504.97101,345,279,22599215,82,23.77,1789.6,15.8
1526,02-Mar-22,65880.0,66600.05,65307.95,66201.55,66118.06441,295,224,19504829,116,39.32,1292.1,321.55
1527,03-Mar-22,66608.9,66999.9,65800.0,66088.25,66163.88129,278,172,18393559,110,39.57,1199.9,-520.65
1528,04-Mar-22,65500.05,66163.9,65000.0,66013.7,65652.74545,385,282,25276307,220,57.14,1163.9,513.65
1529,07-Mar-22,64500.0,66440.25,63800.05,66115.05,65324.71741,1097,566,71661215,633,57.7,2640.2,1615.05
1530,08-Mar-22,66120.0,66627.25,65800.0,66340.3,66169.27928,222,171,14689580,85,38.29,827.25,220.3
1531,09-Mar-22,66564.2,66940.9,65957.9,66087.35,66536.15468,278,209,18497051,88,31.65,983.0,-476.85
1532,10-Mar-22,66850.0,67464.65,66504.0,66862.75,66956.91818,330,233,22095783,116,35.15,960.65,12.75
1533,11-Mar-22,66980.0,68000.0,66410.2,67919.2,67378.10396,202,167,13610377,108,53.47,1589.8,939.2
1534,14-Mar-22,68100.0,68458.85,67412.1,68237.35,67911.06522,368,292,24991272,185,50.27,1046.75,137.35
1535,15-Mar-22,68238.85,68958.95,67718.65,68107.65,68344.78947,323,244,22075367,89,27.55,1240.3,-131.2
1536,16-Mar-22,68310.0,68800.0,68145.1,68343.4,68502.23759,282,206,19317631,155,54.96,654.9,33.4
1537,17-Mar-22,68634.95,69898.05,68620.0,68986.0,69368.76812,345,238,23932225,164,47.54,1278.05,351.05
1538,21-Mar-22,69479.85,69922.6,66650.25,67010.85,67876.05046,654,501,44390937,229,35.02,3272.35,-2469.0
1539,22-Mar-22,67399.0,67399.0,65965.8,67128.5,66689.99162,597,407,39813925,176,29.48,1433.2,-270.5
1540,23-Mar-22,67399.95,67724.0,66619.0,66833.6,67173.81686,344,274,23107793,139,40.41,1105.0,-566.35
1541,24-Mar-22,66741.4,67400.0,66446.05,66784.1,67027.31395,172,119,11528698,55,31.98,953.95,42.7
1542,25-Mar-22,66989.95,67151.15,66005.0,66485.6,66519.8942,293,227,19490329,122,41.64,1146.15,-504.35
1543,28-Mar-22,67300.0,67300.0,64974.0,65724.1,65490.01711,526,331,34447749,268,50.95,2326.0,-1575.9
